"","db030","hsize","db040","rb030","age","rb090","pl030","pb220a","py010n","py050n","py090n","py100n","py110n","py120n","py130n","py140n","hy040n","hy050n","hy070n","hy080n","hy090n","hy110n","hy130n","hy145n","eqss","eqincome","db090","rb050"
"1",1,3,"Tyrol",101,34,"female","2","AT",9756.25,0,0,0,0,0,0,0,4273.9,2428.11,0,0,33.39,0,0,0,1.8,16090.6944444444,504.569620253164,504.569620253164
"2",1,3,"Tyrol",102,39,"male","1","Other",12471.6,0,0,0,0,0,0,0,4273.9,2428.11,0,0,33.39,0,0,0,1.8,16090.6944444444,504.569620253164,504.569620253164
"3",1,3,"Tyrol",103,2,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4273.9,2428.11,0,0,33.39,0,0,0,1.8,16090.6944444444,504.569620253164,504.569620253164
"4",2,4,"Tyrol",201,38,"female","7","AT",12487.03,0,0,0,0,0,0,0,0,1549.72,0,0,2.13,0,0,0,2.1,27076.2428571429,493.382352941176,493.382352941176
"5",2,4,"Tyrol",202,43,"male","1","AT",42821.23,0,0,0,0,0,0,0,0,1549.72,0,0,2.13,0,0,0,2.1,27076.2428571429,493.382352941176,493.382352941176
"6",2,4,"Tyrol",203,11,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1549.72,0,0,2.13,0,0,0,2.1,27076.2428571429,493.382352941176,493.382352941176
"7",2,4,"Tyrol",204,9,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1549.72,0,0,2.13,0,0,0,2.1,27076.2428571429,493.382352941176,493.382352941176
"8",3,1,"Vienna",301,26,"female","7","AT",0,0,0,0,0,0,0,0,0,0,0,0,19575.36,0,0,-84.17,1,19659.53,868.220417633411,868.220417633411
"9",4,5,"Vienna",401,47,"male","3","Other",0,0,6979.02,0,0,0,0,0,0,2055.63,0,0,0,0,0,-188.45,2.8,15015.9107142857,635.457142857143,635.457142857143
"10",4,5,"Vienna",402,28,"male","1","AT",8546.62,8885.74,0,0,0,0,0,0,0,2055.63,0,0,0,0,0,-188.45,2.8,15015.9107142857,635.457142857143,635.457142857143
"11",4,5,"Vienna",403,38,"female","7","AT",10661.67,0,0,0,0,0,0,0,0,2055.63,0,0,0,0,0,-188.45,2.8,15015.9107142857,635.457142857143,635.457142857143
"12",4,5,"Vienna",404,18,"male","4","AT",0,0,0,0,4727.42,0,0,0,0,2055.63,0,0,0,0,0,-188.45,2.8,15015.9107142857,635.457142857143,635.457142857143
"13",4,5,"Vienna",405,12,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2055.63,0,0,0,0,0,-188.45,2.8,15015.9107142857,635.457142857143,635.457142857143
"14",5,2,"Upper Austria",501,71,"male","5","AT",0,0,0,0,0,0,14517.76,0,0,0,0,0,50.5,0,0,-88.02,1.5,14109.3866666667,493.794392523365,493.794392523365
"15",5,2,"Upper Austria",502,68,"female","5","AT",0,0,0,6507.8,0,0,0,0,0,0,0,0,50.5,0,0,-88.02,1.5,14109.3866666667,493.794392523365,493.794392523365
"16",6,2,"Lower Austria",601,69,"female","5","AT",0,0,0,13743.86,0,0,0,0,0,0,0,0,260.32,0,0,0,1.5,21753.5333333333,515.101449275362,515.101449275362
